rpe = 0.103481413507
stamp_est0        stamp_est1        stamp_gt0         stamp_gt1         trans_error  rot_error
1305031125.175600 1305031128.535500 1305031125.711443 1305031128.179350 0.017795 0.071767
1305031109.155800 1305031127.225600 1305031109.111282 1305031127.279465 0.122564 0.021348
1305031114.105700 1305031127.695500 1305031114.711306 1305031127.647358 0.090514 0.143627
1305031128.635500 1305031123.145600 1305031128.179350 1305031123.382255 0.054911 0.053843
1305031119.895700 1305031126.825500 1305031120.379437 1305031126.779379 0.030824 0.022678
1305031114.275700 1305031119.665600 1305031114.711306 1305031120.379437 0.014799 0.139770
1305031117.185700 1305031110.035700 1305031116.912044 1305031109.311329 0.137104 0.085508
1305031125.535500 1305031123.285600 1305031125.711443 1305031123.382255 0.108745 0.032129
1305031112.335800 1305031116.285700 1305031112.611261 1305031116.411333 0.062536 0.105788
1305031122.035600 1305031126.445500 1305031121.982926 1305031126.411465 0.102457 0.017328
1305031115.605700 1305031123.575500 1305031116.143441 1305031123.711323 0.173471 0.256323
1305031123.585600 1305031124.245500 1305031123.711323 1305031124.147446 0.013595 0.020124
1305031125.115500 1305031114.275700 1305031125.711443 1305031114.711306 0.065978 0.168515
1305031120.005700 1305031110.915800 1305031120.379437 1305031110.979345 0.131541 0.018414
1305031110.405700 1305031125.315500 1305031110.979345 1305031125.711443 0.046159 0.158489
1305031115.705600 1305031126.245500 1305031116.143441 1305031126.411465 0.134033 0.217313
1305031116.405700 1305031108.695800 1305031116.411333 1305031108.876515 0.034726 0.039200
1305031110.555700 1305031127.355500 1305031110.979345 1305031127.279465 0.070211 0.066797
1305031124.625500 1305031115.505700 1305031124.147446 1305031114.979280 0.143922 0.262148
1305031115.545700 1305031125.005600 1305031114.979280 1305031125.711443 0.167141 0.187837
1305031123.915500 1305031108.005800 1305031123.711323 1305031108.043418 0.107769 0.019998
1305031127.165500 1305031114.025700 1305031127.279465 1305031114.711306 0.125059 0.164399
1305031126.835700 1305031121.035600 1305031126.779379 1305031121.683200 0.059801 0.037858
1305031113.195700 1305031125.175600 1305031112.611261 1305031125.711443 0.062901 0.072412
1305031109.535700 1305031110.295800 1305031109.311329 1305031110.979345 0.052142 0.251129
1305031109.975800 1305031126.235500 1305031109.311329 1305031126.079356 0.181818 0.164437
1305031110.785700 1305031121.745700 1305031110.979345 1305031121.683200 0.143050 0.018862
1305031128.555500 1305031124.755500 1305031128.179350 1305031124.147446 0.157414 0.154418
1305031113.155700 1305031107.405700 1305031112.611261 1305031108.043418 0.100404 0.084190
1305031112.135700 1305031109.085700 1305031112.611261 1305031109.111282 0.189255 0.101446
1305031110.425800 1305031114.165700 1305031110.979345 1305031114.711306 0.044125 0.042635
1305031128.165500 1305031128.055500 1305031128.179350 1305031128.179350 0.006398 0.007250
1305031115.735700 1305031117.305700 1305031116.143441 1305031116.912044 0.030018 0.084492
1305031108.175800 1305031125.485500 1305031108.143334 1305031125.711443 0.099548 0.021827
1305031128.285500 1305031116.025700 1305031128.179350 1305031116.143441 0.043842 0.052048
1305031116.895600 1305031126.805500 1305031116.912044 1305031126.779379 0.078524 0.010041
1305031125.655600 1305031124.145600 1305031125.711443 1305031124.147446 0.156816 0.015368
1305031121.725600 1305031117.235700 1305031121.683200 1305031116.912044 0.164183 0.221959
1305031119.875700 1305031123.575500 1305031120.379437 1305031123.711323 0.012537 0.007309
1305031127.115500 1305031120.205600 1305031127.279465 1305031120.379437 0.052226 0.015646
1305031112.855900 1305031112.405700 1305031112.611261 1305031112.611261 0.082337 0.107290
1305031108.955800 1305031111.245800 1305031108.876515 1305031110.979345 0.157712 0.086129
1305031108.725800 1305031123.415600 1305031108.876515 1305031123.382255 0.134442 0.046141
1305031113.175700 1305031126.815600 1305031112.611261 1305031126.779379 0.069755 0.079570
1305031121.685600 1305031112.145700 1305031121.683200 1305031112.611261 0.126852 0.107323
1305031116.745700 1305031126.645500 1305031116.679281 1305031126.779379 0.067084 0.030229
1305031127.825600 1305031114.435700 1305031127.647358 1305031114.711306 0.068742 0.074849
1305031122.915600 1305031121.735600 1305031123.382255 1305031121.683200 0.029944 0.096814
1305031110.485700 1305031122.375600 1305031110.979345 1305031121.982926 0.060887 0.171078
1305031122.815600 1305031127.595600 1305031123.382255 1305031127.647358 0.152643 0.110779
1305031114.385600 1305031120.475600 1305031114.711306 1305031120.379437 0.039309 0.071261
1305031120.135600 1305031116.595700 1305031120.379437 1305031116.679281 0.173725 0.054968
1305031117.295700 1305031125.725600 1305031116.912044 1305031125.711443 0.125519 0.217410
1305031125.905500 1305031124.065500 1305031126.079356 1305031124.147446 0.204429 0.052275
1305031124.615500 1305031121.475600 1305031124.147446 1305031121.683200 0.047910 0.128014
1305031128.415400 1305031125.325500 1305031128.179350 1305031125.711443 0.059403 0.052587
1305031109.455800 1305031111.905700 1305031109.311329 1305031112.611261 0.194207 0.093084
1305031124.135800 1305031112.815700 1305031124.147446 1305031112.611261 0.165073 0.073608
1305031121.305600 1305031127.375500 1305031121.683200 1305031127.279465 0.009036 0.026067
1305031110.585700 1305031112.675800 1305031110.979345 1305031112.611261 0.189878 0.033825
1305031114.975700 1305031125.525500 1305031114.979280 1305031125.711443 0.126896 0.015961
1305031116.325600 1305031124.975800 1305031116.411333 1305031125.711443 0.115177 0.057933
1305031121.475600 1305031108.025700 1305031121.683200 1305031108.043418 0.056938 0.036390
1305031121.115600 1305031121.785600 1305031121.683200 1305031121.683200 0.192292 0.030578
1305031117.565600 1305031115.665600 1305031116.912044 1305031116.143441 0.045952 0.080126
1305031113.145700 1305031108.245800 1305031112.611261 1305031108.143334 0.027366 0.072455
1305031127.625500 1305031121.605600 1305031127.647358 1305031121.683200 0.102191 0.020595
1305031109.075700 1305031109.975800 1305031109.111282 1305031109.311329 0.306427 0.177449
1305031123.495600 1305031115.015700 1305031123.382255 1305031114.979280 0.126886 0.030372
1305031108.825700 1305031115.325700 1305031108.876515 1305031114.979280 0.102306 0.095486
1305031108.605700 1305031109.085700 1305031108.475471 1305031109.111282 0.009819 0.050333
1305031128.615500 1305031117.165700 1305031128.179350 1305031116.912044 0.069262 0.192387
