rpe = 0.118329433997
stamp_est0 	  stamp_est1 	    stamp_gt0 	      stamp_gt1 	trans_error rot_error
1305031122.265600 1305031101.625800 1305031122.314289 1305031102.175304 0.154955 0.069570
1305031120.745700 1305031106.125800 1305031120.415445 1305031106.143355 0.090078 0.105459
1305031107.195800 1305031120.845600 1305031107.575454 1305031120.415445 0.142777 0.193850
1305031118.545600 1305031121.015600 1305031118.511255 1305031121.583204 0.174062 0.026856
1305031114.215700 1305031124.535600 1305031114.343331 1305031124.211396 0.114062 0.109732
1305031102.315800 1305031118.115600 1305031102.175304 1305031118.179323 0.065581 0.047160
1305031102.205800 1305031120.875600 1305031102.175304 1305031120.415445 0.109758 0.110518
1305031109.525700 1305031119.005600 1305031109.275308 1305031118.879208 0.097296 0.096413
1305031119.865600 1305031118.575600 1305031119.879214 1305031118.511255 0.011897 0.007680
1305031105.305800 1305031123.715500 1305031104.775327 1305031123.683753 0.112167 0.105500
1305031105.865800 1305031114.305700 1305031106.143355 1305031114.343331 0.102957 0.074451
1305031118.995700 1305031105.665800 1305031118.879208 1305031106.143355 0.197996 0.096567
1305031117.615700 1305031107.265800 1305031118.179323 1305031107.575454 0.196811 0.092172
1305031103.805800 1305031123.055700 1305031103.143318 1305031123.311327 0.103283 0.073706
1305031115.355700 1305031108.495800 1305031115.111230 1305031108.443610 0.089626 0.079161
1305031102.555800 1305031110.625700 1305031102.175304 1305031110.679606 0.140137 0.109395
1305031122.205600 1305031122.005600 1305031122.314289 1305031121.914931 0.066585 0.032298
1305031115.845700 1305031119.635700 1305031116.080030 1305031119.547382 0.123892 0.114083
1305031105.065800 1305031120.735600 1305031104.775327 1305031120.415445 0.085358 0.103238
1305031123.245600 1305031121.555600 1305031123.311327 1305031121.583204 0.037507 0.016484
1305031109.365800 1305031116.495700 1305031109.275308 1305031116.443369 0.023447 0.063790
1305031101.905800 1305031123.775500 1305031102.175304 1305031123.683753 0.092839 0.073974
1305031114.555700 1305031109.515800 1305031114.644136 1305031109.275308 0.128605 0.104958
1305031105.265800 1305031118.345700 1305031104.775327 1305031118.511255 0.098124 0.067657
1305031118.585700 1305031113.605700 1305031118.511255 1305031113.443266 0.092752 0.072950
1305031108.075800 1305031124.195500 1305031108.011320 1305031124.211396 0.021786 0.046574
1305031106.435800 1305031116.885700 1305031106.511129 1305031116.779298 0.068902 0.086951
1305031119.865600 1305031123.415600 1305031119.879214 1305031123.311327 0.028893 0.037001
1305031122.325500 1305031110.285800 1305031122.314289 1305031110.679606 0.153006 0.147265
1305031109.055700 1305031111.995700 1305031109.275308 1305031112.411442 0.259269 0.199584
1305031120.535800 1305031118.495600 1305031120.415445 1305031118.511255 0.025015 0.059794
1305031106.466100 1305031118.905700 1305031106.511129 1305031118.879208 0.012403 0.014521
1305031107.805700 1305031109.455800 1305031108.011320 1305031109.275308 0.033131 0.072292
1305031114.945600 1305031120.725600 1305031115.111230 1305031120.415445 0.095436 0.075256
1305031105.155800 1305031111.815700 1305031104.775327 1305031112.411442 0.224513 0.182426
1305031109.505700 1305031103.965800 1305031109.275308 1305031104.611336 0.259153 0.112520
1305031121.175600 1305031110.245700 1305031121.583204 1305031110.679606 0.214196 0.153971
1305031111.035700 1305031106.575800 1305031111.179326 1305031106.511129 0.053578 0.028386
1305031114.705700 1305031120.825600 1305031114.644136 1305031120.415445 0.115511 0.104622
1305031119.355600 1305031112.635900 1305031119.547382 1305031112.743245 0.064762 0.018445
1305031111.025700 1305031110.465800 1305031111.179326 1305031110.679606 0.113280 0.086832
1305031124.825500 1305031114.175700 1305031124.211396 1305031114.043301 0.229313 0.105671
1305031120.735600 1305031103.105800 1305031120.415445 1305031103.143318 0.094876 0.097829
1305031108.565800 1305031123.965600 1305031108.443610 1305031124.211396 0.069385 0.074816
1305031123.375600 1305031106.065800 1305031123.311327 1305031106.143355 0.029990 0.045697
1305031103.725800 1305031122.395600 1305031103.143318 1305031122.314289 0.060995 0.052416
1305031119.265600 1305031103.705800 1305031119.547382 1305031103.143318 0.102831 0.068614
1305031116.695700 1305031117.375700 1305031116.779298 1305031116.779298 0.257673 0.338719
1305031112.485700 1305031103.166800 1305031112.411442 1305031103.143318 0.028858 0.032377
1305031116.815600 1305031106.235800 1305031116.779298 1305031106.143355 0.032323 0.042662
1305031122.935600 1305031120.745700 1305031123.311327 1305031120.415445 0.036060 0.060659
1305031107.445800 1305031103.185800 1305031107.575454 1305031103.143318 0.015632 0.027455
1305031105.745900 1305031109.435800 1305031106.143355 1305031109.275308 0.156334 0.065282
1305031120.825600 1305031110.905800 1305031120.415445 1305031110.679606 0.118134 0.111721
1305031106.755800 1305031113.525700 1305031106.511129 1305031113.443266 0.099864 0.055204
1305031110.535700 1305031107.986600 1305031110.679606 1305031108.011320 0.060554 0.038683
1305031115.875600 1305031106.535700 1305031116.080030 1305031106.511129 0.110205 0.078152
1305031119.365600 1305031112.435700 1305031119.547382 1305031112.411442 0.063355 0.020406
1305031120.405600 1305031110.875700 1305031120.415445 1305031110.679606 0.029938 0.037153
1305031119.185600 1305031116.225700 1305031118.879208 1305031116.080030 0.143021 0.114590
1305031122.035600 1305031107.355800 1305031121.914931 1305031107.575454 0.041735 0.041202
1305031119.345700 1305031104.875800 1305031119.547382 1305031104.775327 0.077638 0.076343
1305031114.635700 1305031108.965800 1305031114.644136 1305031108.711411 0.036169 0.043261
1305031104.925800 1305031115.745700 1305031104.775327 1305031116.080030 0.136399 0.220571
1305031120.365600 1305031119.195600 1305031120.415445 1305031118.879208 0.079727 0.038357
1305031123.255500 1305031115.705600 1305031123.311327 1305031116.080030 0.157949 0.188017
1305031117.536100 1305031108.355800 1305031118.179323 1305031108.443610 0.212385 0.041213
1305031122.245600 1305031116.785600 1305031122.314289 1305031116.779298 0.048861 0.031356
1305031122.115600 1305031121.175600 1305031122.314289 1305031121.583204 0.218930 0.066715
1305031104.285900 1305031115.225700 1305031104.611336 1305031115.111230 0.120919 0.080316
